"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",857,
"DNK","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",854,"B"
"FIN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",16375,
"FIN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",16330,"B"
"FIN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",16008,
"FIN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",1597,
"FIN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",1580,"B"
"FIN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",1575,
"FIN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",1270,
"FIN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1281,"B"
"FIN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1243,
"FIN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",199,
"FIN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",192,"B"
"FIN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",201,
"FIN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",823,
"FIN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",793,"B"
"FIN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",822,
"FRA","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",186658,
"FRA","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",174023,"B"
"FRA","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",180056,
"FRA","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",13077,
"FRA","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",10765,"B"
"FRA","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",10512,
"FRA","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",9552,
"FRA","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",7128,"B"
"FRA","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",6981,
"FRA","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",1355,
"FRA","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",1385,"B"
"FRA","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",1314,
"FRA","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",5407,
"FRA","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",4355,"B"
"FRA","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",4150,
"DEU","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",124486,
"DEU","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",117608,
"DEU","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",131840,"B"
"DEU","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",38157,
"DEU","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",33931,
"DEU","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",34844,"B"
"DEU","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",18015,
"DEU","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",17625,
"DEU","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",19439,"B"
"DEU","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",4408,
"DEU","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",4497,
"DEU","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",4410,"B"
"DEU","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",16759,
"DEU","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",16881,
"DEU","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",15509,"B"
"GRC","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",57578,
"GRC","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",52710,
"GRC","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",51814,"B"
"GRC","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",2293,
"GRC","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",2459,
"GRC","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",2789,"B"
"GRC","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",1218,
"GRC","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1376,
"GRC","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1576,"B"
"GRC","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",113,
"GRC","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",130,
"GRC","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",141,"B"
"GRC","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",660,
"GRC","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",698,
"GRC","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",741,"B"
"HUN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",42103,
"HUN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",42938,
"HUN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",44338,"B"
"HUN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",3296,
"HUN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",3273,
"HUN","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",3231,"B"
"HUN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",2455,
"HUN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",2487,
"HUN","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",2417,"B"
"HUN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",430,
"HUN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",452,
"HUN","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",461,"B"
"HUN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1667,
"HUN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1659,
"HUN","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",1658,"B"
"ISL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",1732,
"ISL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",1754,
"ISL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",1689,
"ISL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",144,
"ISL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",148,
"ISL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",144,
"ISL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",125,
"ISL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",114,
"ISL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",115,
"ISL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",16,
"ISL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",16,
"ISL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",15,
"ISL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",72,
"ISL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",74,
"ISL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",80,
"IRL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",13292,
"IRL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",14362,
"IRL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",14207,
"IRL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",891,
"IRL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",918,
"IRL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",,"C"
"IRL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",732,
"IRL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",733,
